address,f1_contract_creation_time,f2_transaction_fee_spent_contract_creation,f3_percentage_gas_used_contract_creation,f4_gas_price_contract_creation,f5_first_contract_invoke_time,f6_last_contract_invoke_time,f7_active_duration,f8_total_invocations,f9_total_unique_invocations,f10_avg_gas_used_contract_invocations,f11_total_gas_price_contract_invocations,f12_avg_gas_price_contract_invocations,f13_total_tx_fee_contract_invocations,f14_avg_tx_fee_contract_invocations,f15_total_ether_contract_invocations,f16_average_ether_contract_invocations,f17_total_gas_used_contract_invocations,f18_avg_gas_used_contract_invocations,class
0xde5886e65cbf1a9d21267f5ef7d5ed444cc63938,1520440453,1337491,100.0,2000000000,1521573420,1521624338,50918,2,3,48814.0,7000000000,3500000000.0,371000,185500.0,0,0,97629,48814.0,1
0xde97bea954e1f1a102876df225bbb4f014d0c487,1594483944,1013638,100.0,28000000000,1594484039,1594488440,4401,5,6,44234.0,276000000000,55200000000.0,1146184,229236.0,0,0,221171,44234.0,1
0xdef05b512d405f4fb930e252c6c11f054832c93b,1519188110,1338107,100.0,1000000000,1519759946,1575350222,55590276,29,5,27843.0,98940000000,3411724137.0,3213978,110826.0,0,0,807463,27843.0,1
0xdf04e5007cb8fd65831310ceda40f5642c1b39c3,1519224841,1338195,100.0,2000000000,1519832154,1531865420,12033266,5,5,44732.0,25000000000,5000000000.0,1038466,207693.0,0,0,223660,44732.0,1
0xe02f2921742a6eec7ae44a18b1cca4277874bc74,1519169885,1338515,100.0,1000000000,1519752380,1529613118,9860738,6,5,47351.0,44000000000,7333333333.0,1105839,184306.0,0,0,284108,47351.0,1
0xe051ee9bd6270ff52d85ffe09685ee3a9755f04a,1520266045,1338323,100.0,3000000000,1520345727,1531088572,10742845,4,4,46683.0,27000000000,6750000000.0,804042,201010.0,0,0,186735,46683.0,1
0xe06ae5c5ab3eda3a62918bf86532c7d87dbbc66d,1519047473,1338131,100.0,1000000000,1519752013,1529610299,9858286,7,5,46172.0,31000000000,4428571428.0,1522890,217555.0,0,0,323207,46172.0,1
0xe0787aabbd6ee01e55f98647673552885d54eb06,1539291810,2236325,100.0,3000000000,1539603827,1580657091,41053264,198,147,46277.0,2412772402288,12185719203.0,15814306,79870.0,1413159119793766503,7137167271685689,9162918,46277.0,1
0xe0ff829cd4909e8e8680e9e0d9189b479c3bc5b8,1565251454,1744399,100.0,9000000000,1565252006,1566919044,1667038,10,9,55050.0,148000900000,14800090000.0,720912,72091.0,1887021291830338526,188702129183033852,550507,55050.0,1
0xe1358ae1a9130bc458c8021fcbb7ef8aedd51487,1519220027,1338131,100.0,2000000000,1519760102,1529622259,9862157,5,4,46423.0,21000000000,4200000000.0,1022989,204597.0,0,0,232119,46423.0,1
0xe14417012f306b89d0138fed7a04a134c978d5a2,1594430291,1152064,100.0,31000000000,1594430377,1594436857,6480,6,3,40194.0,172100001235,28683333539.0,311964,51994.0,0,0,241168,40194.0,1
0xe1632e7e0dc135f3bc8991b917e8b682ab340fe1,1519221496,1338707,100.0,2000000000,1519831389,1531093044,11261655,5,5,46411.0,37000000000,7400000000.0,1053914,210782.0,0,0,232055,46411.0,1
0xe32da8605e6d4802f9fa9a5e3776c12e06cb93f1,1599460210,786542,100.0,65000000000,1599507391,1599508021,630,3,3,46727.0,256000000000,85333333333.0,211046,70348.0,9758621913405085,3252873971135028,140181,46727.0,1
0xe37742f207b4e51763974687906d31c6cf8150a5,1623773639,676370,100.0,30000000000,1623773806,1639133347,15359541,91,11,207484.0,9390729434764,103194828953.0,28705538,315445.0,100000000000000000000,1098901098901098901,18881049,207484.0,1
0xe3d474f3686a831bf380498d1dbd57fdf972ca30,1554145375,1792193,100.0,2000000000,1554145484,1566901744,12756260,38,10,43881.0,306072295720,8054534097.0,2470596,65015.0,28657852107604939776,754154002831708941,1667494,43881.0,1
0xe45f73dad6af24273b361f02c3749f13c2231080,1606462498,1802993,100.0,35000000000,1606462904,1606553479,90575,22,14,164387.0,913588513330,41526750605.0,13298490,604476.0,0,0,3616520,164387.0,1
0xe460f3e0adc58357ea5e3ac1d839611dee826354,1637976234,2936802,100.0,135000000000,1637976372,1638760057,783685,19,10,47960.0,3029111218616,159426906242.0,1332945,70155.0,0,0,911257,47960.0,1
0xe4815ae53b124e7263f08dcdbbb757d41ed658c6,1606014225,1127555,100.0,43000000000,1606063954,1613614382,7550428,9999,3433,39974.0,1570082618143634,157023964210.0,1609630487,160979.0,10000000000000000,1000100010001,399707268,39974.0,1
0xe4ffd96b5e6d2b6cdb91030c48cc932756c951b5,1595864249,1410397,100.0,192801600000,1595864648,1598775736,2911088,772,168,105886.0,61457463783221,79608113708.0,168491952,218253.0,0,0,81744244,105886.0,1
